"Jan 24, 2018",,,,,,,,,,,,,,,9:28:03 AM,,,,,,
The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,
"Office of Institutional Reporting, Research, and Information Systems",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Flow by Major Progression Report ,,,,,,,,,,,,,,,,,,,,,
First Time in College (FTIC) Students ,,,,,,,,,,,,,,,,,,,,,
IPEDS (Fall and Summer Entrants Combined),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NATURAL SCIENCES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Entering Gender: ,,,,,,,,,,,Entering Residence: ,,,,,,,,,,
Entering Ethnicity/Race: ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Continuing Detail ,,,,,,,,,,,,,,,,,,,,,
"After One Year, After Two Years, etc. - Entering School/Major (in blue) - Ending (Flow) School/Major (in gray)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Columns - Cohort Year Semester (Entering) (Ex. 20119 = Fall 2011) by Years Lapsed > Entering School/Major > Major Short Title (Entering) > School/Major (Entering) > Flow Status > Ending (Flow) College/School  > Ending (Flow) Major Short Title > Ending (Flow) School/Major ,,,,,,,,,,,,,,,,,,,,,
Headcount,,,,,,,,20039,20049,20059,20069,20079,20089,20099,20109,20119,20129,20139,20149,20159,20169
,,,,,,PHYSICS ENTRY ,E78700,,,,,,,,,,1,,,,
,,,E28200,Continuing - Same Major,NATURAL SCIENCES,C S (BS) HONORS ,E28200,,,,,,,3,,,,,,,
,,,,Cont in Another Major - Same College,NATURAL SCIENCES,BIO BS HONORS ,E15400,,,,1,,,,,,,,,,
,,,,,,COMPUTER SCIS BS ,E27800,,,,,1,,,,,,,,,
,,,,,,CS (BSCS TURING) ,E28100,,,,,,1,,,,,,,,
,,,,,,TEXTILES ENTRY ,E50000,,,,,,,,1,,,,,,
,,,Major Subtotal,,,,,,,,1,1,1,3,1,,3,9,1,,
,,C S (BSA) HONORS ,E11800,Continuing - Same Major,NATURAL SCIENCES,C S (BSA) HONORS ,E11800,,,,,,,,,,,,6,1,
,,,,Cont in Another Major - Same College,NATURAL SCIENCES,COMP SCI (BSA) ,E10600,,,,,,,,,,,,,1,
,,,,,,COMPUTER SCI BS ,E28600,,,,,,,,,,,,1,,
,,,,,,CS (BSCS TURING) ,E28800,,,,,,,,,,,,1,,
,,,Major Subtotal,,,,,,,,,,,,,,,,8,2,
,,C S ENTRY-LEVEL ,E28400,Continuing - Same Major,NATURAL SCIENCES,C S ENTRY-LEVEL ,E28400,,,,,,,,,14,10,5,6,7,
,,,,Cont in Another Major - Same College,NATURAL SCIENCES,AST BS ASTRONOMY ,E12200,,,,,,,,,,,1,,,
,,,,,,BIO BSBIO COMPTN ,E15500,,,,,,,,,,1,,,,
,,,,,,BIO BSBIO HUMAN ,E14600,,,,,,,,,,1,,,1,
,,,,,,BIOCHEM (BSA) ,E10300,,,,,,,,,,,1,,,
,,,,,,BIOCHEM ENTRY ,E13400,,,,,,,,,,1,1,2,,
,,,,,,BIOLOGY ENTRY ,E13900,,,,,,,,,2,1,,2,,
,,,,,,C S (BS) HONORS ,E28900,,,,,,,,,,,,2,,
,,,,,,CH BS COMPUTATN ,E21200,,,,,,,,,,,,1,,
,,,,,,CHEMISTRY ENTRY ,E20500,,,,,,,,,,,,1,,
,,,,,,COMP SCI (BSA) ,E10600,,,,,,,,,,8,35,27,24,
,,,,,,COMPUTER SCI BA ,E28500,,,,,,,,,5,3,1,,,
,,,,,,COMPUTER SCI BS ,E28600,,,,,,,,,92,127,120,197,207,
,,,,,,COMPUTER SCIS BS ,E27800,,,,,,,,,1,,,,,
,,,,,,CS (BSCS TURING) ,E28800,,,,,,,,,5,2,3,4,1,
,,,,,,CS BS INTEGRATED ,E29000,,,,,,,,,,1,,3,,
,,,,,,HDF ENTRY-LEVEL ,E56000,,,,,,,,,,,,1,,
,,,,,,HUMAN ECOL ENTRY ,E51000,,,,,,,,,,,,,1,
,,,,,,M BS ACTUARIAL ,E65400,,,,,,,,,1,2,1,,,
,,,,,,MATH BS APPLIED ,E65500,,,,,,,,,,,,,1,
,,,,,,MATH BS MATH SCI ,E65600,,,,,,,,,,4,1,4,1,
,,,,,,MATH BS TEACHING ,E65800,,,,,,,,,,,1,,,
,,,,,,MATH ENTRY-LEVEL ,E65000,,,,,,,,,1,2,2,2,2,
,,,,,,MATHEMATICS (BA) ,E65100,,,,,,,,,,2,,,,
,,,,,,MATHEMATICS(BSA) ,E11000,,,,,,,,,,1,2,1,1,
,,,,,,MEDLABSCI ENTRY ,E66800,,,,,,,,,,1,,,1,
,,,,,,"NEUROSCIENCE, EN ",E67900,,,,,,,,,,1,1,,,
,,,,,,NTR DIETETCS DPD ,E72000,,,,,,,,,1,,,,,
,,,,,,NTR ENTRY-LEVEL ,E71900,,,,,,,,,,1,2,,,
,,,,,,PHY BS RADIATION ,E80200,,,,,,,,,,1,,,,
,,,,,,PHYSICS ENTRY ,E78700,,,,,,,,,,,,1,,
,,,,,,TEXTILES (DESGN) ,E52600,,,,,,,,,,1,,,,
,,,,,,TEXTILES (MERCH) ,E52700,,,,,,,,,1,,,,,
,,,,,,TEXTILES ENTRY ,E50000,,,,,,,,,,,,1,,
,,,,,,UMAP ,E00400,,,,,,,,,3,,1,1,,
,,,,,,UNDECLARED ,E00100,,,,,,,,,5,3,7,4,2,
,,,,Cont - Another College,COCKRELL SCHL OF ENGINEERING,BIOMEDICAL ENGR ,414700,,,,,,,,,,,1,,,
,,,,,,CHEMICAL ENGR ,420100,,,,,,,,,,,,1,,
,,,,,,ELECT ENG (COND) ,434600,,,,,,,,,,1,,,,
,,,,,,MECH ENGR (COND) ,466200,,,,,,,,,,1,,,,
,,,,,,MECHANICAL ENGR ,466100,,,,,,,,,,,1,,,
,,,,,,PETROLEUM (MAJ) ,475300,,,,,,,,,,1,,,,
,,,,,COMMUNICATION,ADVERTISING ,C57200,,,,,,,,,,2,1,1,,
,,,,,,COMSTUD/CORP COM ,C94260,,,,,,,,,,,1,,,
,,,,,,,C94160,,,,,,,,,1,,,,,
,,,,,,CSD-SP/LG PT UD ,C95240,,,,,,,,,,1,,,,
,,,,,,JOURNALISM ,C59100,,,,,,,,,2,,,1,,
,,,,,,PUBLIC RELATIONS ,C86200,,,,,,,,,,1,,,,
,,,,,,RAD-TELE-FILM ,C85200,,,,,,,,,,,,2,1,
,,,,,,RAD-TELE-FILM LD ,C85100,,,,,,,,,1,1,,,,
,,,,,EDUCATION,ALD EC-6 CERTFTN ,335426,,,,,,,,,,,,1,,
,,,,,,ALD-YOUTH & COMM ,335701,,,,,,,,,1,,,,,
,,,,,,EXERCISE SCIENCE ,372500,,,,,,,,,,,1,,,
,,,,,FINE ARTS,ART ENTNMNT TECH ,500200,,,,,,,,,,,,2,,
,,,,,,DANCE ,511100,,,,,,,,,,,,1,,
,,,,,JACKSON SCHL GEOSCIENCES,UNDECLARED ,J00100,,,,,,,,,,1,,,,
,,,,,LIBERAL ARTS,ANTHROPOLOGY ,L06200,,,,,,,,,,,1,,,
,,,,,,ECONOMICS ,L31500,,,,,,,,,3,4,4,,2,
,,,,,,ENGLISH ,L39300,,,,,,,,,2,,1,1,,
,,,,,,GEOGRAPHY ,L44300,,,,,,,,,,,,,3,
,,,,,,GOVERNMENT ,L47500,,,,,,,,,,1,1,,,
,,,,,,HISTORY ,L50600,,,,,,,,,1,,1,4,,
,,,,,,LINGUISTICS ,L61900,,,,,,,,,,,,2,,
,,,,,,PHILOSOPHY ,L76400,,,,,,,,,,,1,,,
,,,,,,PLAN II HONORS ,L79500,,,,,,,,,,,,,1,
,,,,,,PSYCH (BSPSY) ,L84000,,,,,,,,,,,,1,,
,,,,,,PSYCHOLOGY (BA) ,L83500,,,,,,,,,,,,1,,
,,,,,,SOCIOLOGY ,L91700,,,,,,,,,,,,2,,
,,,,,,URBAN STUDIES ,L94000,,,,,,,,,,,,1,,
,,,,,MCCOMBS SCHL OF BUSINESS,FINANCE ,240900,,,,,,,,,1,,,,,
,,,,,,MGMT INFO SYSTMS ,264000,,,,,,,,,,2,,,,
,,,,,,UNSPEC BUS (TRN) ,200401,,,,,,,,,,1,,,,
,,,,,SOCIAL WORK,SW (PRE-MAJOR) ,S91300,,,,,,,,,,2,,,,
,,,E27600,Continuing - Same Major,NATURAL SCIENCES,C S ENTRY-LEVEL ,E27600,,,,,15,9,9,2,,,,,,
,,,,Cont in Another Major - Same College,NATURAL SCIENCES,BIO BSBIO MICRO ,E14800,,,,,,,,1,,,,,,
,,,,,,BIO BSBIO NEURO ,E15000,,,,,,1,,,,,,,,
,,,,,,BIOCH (BSBIOCH) ,E13600,,,,,,,2,,,,,,,
,,,,,,BIOLOGY (BA) ,E14400,,,,,,1,,,,,,,,
,,,,,,BIOLOGY ENTRY ,E13900,,,,,,,2,4,,,,,,
,,,,,,C S ENTRY-LEVEL ,E28400,,,,,,,,10,,,,,,
,,,,,,CHEM (BSCH) CHEM ,E20900,,,,,1,1,,2,,,,,,
,,,,,,CHEMISTRY (BA) ,E20600,,,,,1,,,,,,,,,
,,,,,,CLS ENTRY-LEVEL ,E66500,,,,,,,,1,,,,,,
,,,,,,COMPUTER SCI BA ,E28500,,,,,,,,2,3,,,,,
,,,,,,COMPUTER SCI BS ,E28600,,,,,,,,65,9,,1,,,
,,,,,,COMPUTER SCIS BA ,E27700,,,,,10,2,1,,,,,,,
,,,,,,COMPUTER SCIS BS ,E27800,,,,,31,60,60,5,,,,,,
,,,,,,CS (BSCS TURING) ,E28800,,,,,,,,1,,,,,,
,,,,,,,E28100,,,,,,,1,5,,,,,,
,,,,,,CS BS INTEGRATED ,E28300,,,,,1,,1,,,,,,,
,,,,,,ENVSCI ENTRY BIO ,E15600,,,,,,,,1,,,,,,
,,,,,,M BS ACTUARIAL ,E65400,,,,,,,,,1,,,,,
,,,,,,M BS PURE MATH ,E65700,,,,,,,1,,,,,,,
,,,,,,MATH BS MATH SCI ,E65600,,,,,,,,,1,,,,,
,,,,,,MATH ENTRY-LEVEL ,E65000,,,,,,,1,1,,,,,,
